zotero_key,identity,title
YBMNAF6Y,doi:10.1073/pnas.2102164118,Computational design of a synthetic PD-1 agonist
YCLS2HDQ,doi:10.1073/pnas.2012800118,Computationally designed peptide macrocycle inhibitors of New Delhi metallo-β-lactamase 1
YF97VBLS,doi:10.1038/s41594-021-00649-8,De Novo Design of Tyrosine and Serine Kinase Drive Protein Switches
YLUY6TLB,doi:10.1038/s41592-025-02886-x,CELLECT: contrastive embedding learning for large-scale efficient cell tracking.
YV7AF4F7,doi:10.1186/s12915-025-02132-y,Identification of Epinastine as CD96/PVR inhibitor for cancer immunotherapy.
YXRS6D6E,doi:10.1038/s41467-022-33004-6,De novo design of immunoglobulin-like domains.
ZAP5HNNJ,doi:10.1126/science.aav7897,"De novo design of tunable, pH-driven conformational changes"
ZMC5LDDE,doi:10.1021/acs.jpcb.0c09888,The Role of Configurational Entropy in Miniprotein Stability.
ZRRVA528,doi:10.1038/s41586-026-10464-0,De novo design of quasisymmetric two-component protein cages
ZXYYB6I2,doi:10.1073/pnas.2005412117,An enumerative algorithm for de novo design of proteins with diverse pocket structures
ZZKDUYTL,doi:10.1038/s41594-022-00879-4,De novo design of obligate ABC-type heterotrimeric proteins
